x y
0.000000 0
0.012215 0
0.024430 0
0.036646 0
0.048861 0
0.061076 0
0.073291 0
0.085507 0
0.097722 0
0.109937 0
0.122152 0
0.134368 0
0.146583 0
0.158798 0
0.171013 0
0.183228 0
0.195444 0
0.207659 0
0.219874 0
0.232089 0
0.244305 0
0.256520 0
0.268735 0
0.280950 0
0.293165 0
0.305381 0
0.317596 0
0.329811 0
0.342026 0
0.354242 0
0.366457 0
0.378672 0
0.390887 0
0.403103 0
0.415318 0
0.427533 0
0.439748 0
0.451963 0
0.464179 0
0.476394 0
0.488609 0
0.500824 0
0.513040 0
0.525255 0
0.537470 0
0.549685 0
0.561900 0
0.574116 0
0.586331 0
0.598546 0
0.610761 0
0.622977 0
0.635192 0
0.647407 0
0.659622 0
0.671838 0
0.684053 0
0.696268 0
0.708483 0
0.720698 0
0.732914 0
0.745129 0
0.757344 0
0.769559 0
0.781775 0
0.793990 0
0.806205 0
0.818420 0
0.830636 0
0.842851 0
0.855066 0
0.867281 0
0.879496 0
0.891712 0
0.903927 0
0.916142 0
0.928357 0
0.940573 0
0.952788 0
0.965003 0
0.977218 0
0.989433 0
1.001649 0
1.013864 0
1.026079 0
1.038294 0
1.050510 0
1.062725 0
1.074940 0
1.087155 0
1.099371 0
1.111586 0
1.123801 0
1.136016 0
1.148231 0
1.160447 0
1.172662 0
1.184877 0
1.197092 0
1.209308 0
1.221523 0
1.233738 0
1.245953 0
1.258168 0
1.270384 0
1.282599 0
1.294814 0
1.307029 0
1.319245 0
1.331460 0
1.343675 0
1.355890 0
1.368106 0
1.380321 0
1.392536 0
1.404751 0
1.416966 0
1.429182 0
1.441397 0
1.453612 0
1.465827 0
1.478043 0
1.490258 0
1.502473 0
1.514688 0
1.526903 0
1.539119 0
1.551334 0
1.563549 0
1.575764 0
1.587980 0
1.600195 0
1.612410 0
1.624625 0
1.636841 0
1.649056 0
1.661271 0
1.673486 0
1.685701 0
1.697917 0
1.710132 0
1.722347 0
1.734562 0
1.746778 0
1.758993 0
1.771208 0
1.783423 0
1.795639 0
1.807854 0
1.820069 0
1.832284 0
1.844499 0
1.856715 0
1.868930 0
1.881145 0
1.893360 0
1.905576 0
1.917791 0
1.930006 0
1.942221 0
1.954436 0
1.966652 0
1.978867 0
1.991082 0
2.003297 0
2.015513 0
2.027728 0
2.039943 0
2.052158 0
2.064374 0
2.076589 0
2.088804 0
2.101019 0
2.113234 0
2.125450 0
2.137665 0
2.149880 0
2.162095 0
2.174311 0
2.186526 0
2.198741 0
2.210956 0
2.223171 0
2.235387 0
2.247602 0
2.259817 0
2.272032 0
2.284248 0
2.296463 0
2.308678 0
2.320893 0
2.333109 0
2.345324 0
2.357539 0
2.369754 0
2.381969 0
2.394185 0
2.406400 0
2.418615 0
2.430830 0
2.443046 0
2.455261 0
2.467476 0
2.479691 0
2.491907 0
2.504122 0
2.516337 0
2.528552 0
2.540767 0
2.552983 0
2.565198 0
2.577413 0
2.589628 0
2.601844 0
2.614059 0
2.626274 0
2.638489 0
2.650704 0
2.662920 0
2.675135 0
2.687350 0
2.699565 0
2.711781 0
2.723996 0
2.736211 0
2.748426 0
2.760642 0
2.772857 0
2.785072 0
2.797287 0
2.809502 0
2.821718 0
2.833933 0
2.846148 0
2.858363 0
2.870579 0
2.882794 0
2.895009 0
2.907224 0
2.919439 0
2.931655 0
2.943870 0
2.956085 0
2.968300 0
2.980516 0
2.992731 0
3.004946 0
3.017161 0
3.029377 0
3.041592 0
3.053807 0
3.066022 0
3.078237 0
3.090453 0
3.102668 0
3.114883 0
3.127098 0
3.139314 0
3.151529 0
3.163744 0
3.175959 0
3.188174 0
3.200390 0
3.212605 0
3.224820 0
3.237035 0
3.249251 0
3.261466 0
3.273681 0
3.285896 0
3.298112 0
3.310327 0
3.322542 0
3.334757 0
3.346972 0
3.359188 0
3.371403 0
3.383618 0
3.395833 0
3.408049 0
3.420264 0
3.432479 0
3.444694 0
3.456910 0
3.469125 0
3.481340 0
3.493555 0
3.505770 0
3.517986 8
3.530201 5
3.542416 4
3.554631 3
3.566847 2
3.579062 3
3.591277 6
3.603492 2
3.615707 2
3.627923 2
3.640138 6
3.652353 3
3.664568 2
3.676784 3
3.688999 2
3.701214 6
3.713429 1
3.725645 1
3.737860 3
3.750075 4
3.762290 4
3.774505 7
3.786721 7
3.798936 8
3.811151 3
3.823366 1
3.835582 3
3.847797 2
3.860012 7
3.872227 6
3.884442 5
3.896658 2
3.908873 8
3.921088 2
3.933303 3
3.945519 6
3.957734 3
3.969949 4
3.982164 5
3.994380 3
4.006595 2
4.018810 0
4.031025 4
4.043240 2
4.055456 5
4.067671 5
4.079886 7
4.092101 7
4.104317 1
4.116532 4
4.128747 3
4.140962 4
4.153178 3
4.165393 8
4.177608 4
4.189823 4
4.202038 4
4.214254 5
4.226469 4
4.238684 5
4.250899 5
4.263115 3
4.275330 2
4.287545 5
4.299760 5
4.311975 8
4.324191 5
4.336406 5
4.348621 0
4.360836 4
4.373052 7
4.385267 7
4.397482 6
4.409697 2
4.421913 3
4.434128 3
4.446343 7
4.458558 3
4.470773 6
4.482989 4
4.495204 6
4.507419 6
4.519634 3
4.531850 6
4.544065 2
4.556280 5
4.568495 2
4.580710 3
4.592926 3
4.605141 2
4.617356 5
4.629571 6
4.641787 3
4.654002 5
4.666217 5
4.678432 2
4.690648 3
4.702863 4
4.715078 6
4.727293 5
4.739508 4
