voltage x,voltage y,time
0.035333457,0.032702739,0.001
-7.668122599,7.72656747,0.002
-7.662532221,7.72656747,0.003
-7.665491833,7.719990649,0.004
-7.673384132,7.712756145,0.005
-7.674370669,7.706179323,0.006
-7.676343744,7.706179323,0.007
-7.677330281,7.706179323,0.008
-7.679303356,7.707165846,0.009
-7.682591814,7.703548595,0.01
-7.685880272,7.696314091,0.011
-7.689826422,7.693354522,0.012
-7.685880272,7.686120018,0.013
-7.677987973,7.70223323,0.014
-7.671739903,7.700260184,0.015
-7.672397594,7.695656409,0.016
-7.671411057,7.709138893,0.017
-7.666149524,7.713413827,0.018
-7.664505296,7.714729191,0.019
-7.664834141,7.712098463,0.02
-7.653324539,7.721306013,0.021
-7.663847604,7.728869358,0.022
-7.67042452,7.722621377,0.023
-7.679303356,7.713084986,0.024
-7.681934122,7.713084986,0.025
-7.684236043,7.704206277,0.026
-7.681605277,7.704206277,0.027
-7.690484113,7.705850482,0.028
-7.690812959,7.706179323,0.029
-7.688511039,7.703548595,0.03
-7.694430263,7.694998727,0.031
-7.703637946,7.692367998,0.032
-7.698376413,7.694998727,0.033
-7.691470651,7.70223323,0.034
-7.684564889,7.713413827,0.035
-7.668780291,7.710125416,0.036
-7.667136062,7.709796575,0.037
-7.665820679,7.710783098,0.038
-7.668122599,7.711769622,0.039
-7.664834141,7.711769622,0.04
-7.660887992,7.708810052,0.041
-7.665491833,7.730184722,0.042
-7.673055286,7.725252106,0.043
-7.67897451,7.716702238,0.044
-7.68522258,7.710125416,0.045
-7.685551426,7.710454257,0.046
-7.68916873,7.704863959,0.047
-7.67667259,7.710125416,0.048
-7.677001435,7.707165846,0.049
-7.680289893,7.702890913,0.05
-7.687524501,7.697958296,0.051
-7.689497576,7.68973727,0.052
-7.689497576,7.681187402,0.053
-7.680618739,7.700589025,0.054
-7.671082211,7.704863959,0.055
-7.672068749,7.711769622,0.056
-7.663189912,7.709796575,0.057
-7.666149524,7.71144078,0.058
-7.66647837,7.714071509,0.059
-7.665491833,7.717031079,0.06
-7.656612997,7.7236079,0.061
-7.664505296,7.731828928,0.062
-7.668122599,7.725580947,0.063
-7.680289893,7.719332966,0.064
-7.688182193,7.706508164,0.065
-7.68292066,7.709796575,0.066
-7.686537964,7.711769622,0.067
-7.686866809,7.707165846,0.068
-7.684564889,7.710454257,0.069
-7.69311488,7.703548595,0.07
-7.691470651,7.701246707,0.071
-7.688839884,7.690394952,0.072
-7.688511039,7.691381475,0.073
-7.679961048,7.699602502,0.074
-7.671082211,7.70815237,0.075
-7.67042452,7.709467734,0.076
-7.668780291,7.708481211,0.077
-7.665162987,7.713413827,0.078
-7.664505296,7.713413827,0.079
-7.679303356,7.71735992,0.08
-7.664505296,7.72656747,0.081
-7.656612997,7.731500087,0.082
-7.654311077,7.727882835,0.083
-7.666807216,7.719332966,0.084
-7.671739903,7.709138893,0.085
-7.674370669,7.710454257,0.086
-7.675357206,7.707823529,0.087
-7.679303356,7.704535118,0.088
-7.676343744,7.702890913,0.089
-7.679961048,7.704863959,0.09
-7.683578351,7.694341045,0.091
-7.688839884,7.69302568,0.092
-7.688511039,7.693354522,0.093
-7.679961048,7.7051928,0.094
-7.671082211,7.710783098,0.095
-7.670753365,7.710125416,0.096
-7.670095674,7.720648331,0.097
-7.668780291,7.714071509,0.098
-7.667464908,7.713413827,0.099
-7.66647837,7.716044556,0.1
-7.659901455,7.7236079,0.101
-7.655297614,7.727882835,0.102
-7.656612997,7.720977172,0.103
-7.66417645,7.716373397,0.104
-7.674041823,7.716044556,0.105
-7.674041823,7.706508164,0.106
-7.677659127,7.701575548,0.107
-7.677001435,7.710454257,0.108
-7.678316819,7.706179323,0.109
-7.679632202,7.700917866,0.11
-7.681934122,7.695656409,0.111
-7.687195655,7.691052634,0.112
-7.687195655,7.691052634,0.113
-7.675686052,7.701575548,0.114
-7.66647837,7.709796575,0.115
-7.666807216,7.706837005,0.116
-7.665162987,7.71144078,0.117
-7.662532221,7.713084986,0.118
-7.68292066,7.715058032,0.119
-7.678645664,7.718017602,0.12
-7.658586072,7.718346443,0.121
-7.652995694,7.72656747,0.122
-7.65168031,7.7236079,0.123
-7.658257226,7.716373397,0.124
-7.666807216,7.710783098,0.125
-7.669766828,7.707494688,0.126
-7.670753365,7.706837005,0.127
-7.672397594,7.707165846,0.128
-7.67042452,7.708810052,0.129
-7.694101417,7.706837005,0.13
-7.695087955,7.70223323,0.131
-7.70100718,7.694669886,0.132
-7.688511039,7.699931343,0.133
